,life cycle,rez_1.0,rez_345.44827586206895,rez_689.8965517241379,rez_1034.344827586207,rez_1378.7931034482758,rez_1723.2413793103447,rez_2067.689655172414,rez_2412.137931034483,rez_2756.5862068965516,rez_3101.0344827586205,rez_3445.4827586206893,rez_3789.9310344827586,rez_4134.379310344828,rez_4478.827586206897,rez_4823.275862068966,rez_5167.724137931034,rez_5512.172413793103,rez_5856.620689655172,rez_6201.068965517241,rez_6545.51724137931,rez_6889.965517241379,rez_7234.413793103448,rez_7578.862068965517,rez_7923.310344827586,rez_8267.758620689656,rez_8612.206896551725,rez_8956.655172413793,rez_9301.103448275862,rez_9645.551724137931,rez_9990.0,imz_1.0,imz_345.44827586206895,imz_689.8965517241379,imz_1034.344827586207,imz_1378.7931034482758,imz_1723.2413793103447,imz_2067.689655172414,imz_2412.137931034483,imz_2756.5862068965516,imz_3101.0344827586205,imz_3445.4827586206893,imz_3789.9310344827586,imz_4134.379310344828,imz_4478.827586206897,imz_4823.275862068966,imz_5167.724137931034,imz_5512.172413793103,imz_5856.620689655172,imz_6201.068965517241,imz_6545.51724137931,imz_6889.965517241379,imz_7234.413793103448,imz_7578.862068965517,imz_7923.310344827586,imz_8267.758620689656,imz_8612.206896551725,imz_8956.655172413793,imz_9301.103448275862,imz_9645.551724137931,imz_9990.0
0,210.0,20.70489175649169,13.130035222086198,12.20526420571156,11.702620320698545,11.349715166021813,11.068726802864177,10.830133503648783,10.623378618990463,10.441037863174031,10.277215709607518,10.126476731360945,9.986458286847816,9.85608854387822,9.734300120469614,9.620038860460468,9.512520313388425,9.411211861249404,9.315590531942933,9.225133353368552,9.139317353425781,9.05761956001417,8.979517001033237,8.90448670438252,8.83200569796155,8.761551009669862,8.692599667406986,8.624628699072456,8.557115132565801,8.489535995786557,8.421368316634256,2.3405244178223983,2.287265950916531,2.145364133170876,2.120018470605575,2.1231419417662765,2.137942695423494,2.159439553489157,2.182457582364518,2.204607705296189,2.224939924219421,2.242645239274549,2.2578009025794095,2.2708564611740196,2.282262745626083,2.292453297051027,2.301509083834827,2.3091818664251305,2.315210795663725,2.3193350223923956,2.3212936974529286,2.320825971687111,2.3176709959367288,2.311567921043568,2.302255897849414,2.2894740771960542,2.2729616099252743,2.2524576468788613,2.2277013388985996,2.198431836826277,2.1643882915036796
1,190.0,20.34206055193867,13.030370284305462,12.178966115493706,11.733725732035506,11.421452848235804,11.17501540445242,10.970153937696224,10.792267017088559,10.633022577564818,10.487280098125074,10.350359676068761,10.220562833508158,10.097443523406877,9.980560016621633,9.869466717802304,9.763639190518168,9.662479382010801,9.565386419805815,9.471759431428822,9.380997544405433,9.292499886261265,9.205665584521926,9.119893766713034,9.034583560360193,8.949134092989024,8.862944492125134,8.775413885294139,8.685941400021651,8.593926163833281,8.498767304254642,2.3041016919126314,2.142289032095329,1.9796027601041926,1.9383567888566002,1.9429531458532596,1.9663968952484459,1.9981285593376703,2.0332090781183316,2.069119855116835,2.1045656711195826,2.138366376315701,2.1700623022961225,2.1994964390088003,2.226512819849658,2.250963317863147,2.2728596750261794,2.2923629078263184,2.309639750391944,2.324856936851433,2.338181201333165,2.349779277965519,2.3598179008768723,2.368463804195604,2.3758837220500926,2.382244388568717,2.387712537879855,2.392454904111886,2.396638221393188,2.40042922385214,2.4039946456171197
2,211.0,20.54411812989728,13.302551652815499,12.348509387047617,11.828142308358773,11.455944069613077,11.166262638281081,10.929376831772727,10.723714606612814,10.538976445901415,10.370644244227108,10.214581398844915,10.068941503196012,9.932840211661949,9.805396495435186,9.685730924402646,9.572996669603874,9.466377342771473,9.365057721603682,9.268222583798739,9.175056707054878,9.084744869070342,8.996471847543367,8.909422420172188,8.822781364655043,8.73573345869017,8.64746347997581,8.557156206210198,8.463996415091568,8.367168884318163,8.265858391588218,2.2192941278515725,2.307326005075618,2.201448091668006,2.1739690547228263,2.1814874057584634,2.201691318141199,2.2261525819517067,2.251839586611131,2.2773366727475457,2.302037277186667,2.3253816064392248,2.347084902107281,2.3669779419728085,2.3848919021414687,2.4006661869098505,2.414307992803373,2.4259811890822105,2.435855646020498,2.4441012338923707,2.450887822971963,2.456385283533412,2.460763485850852,2.4641923001984196,2.466841596850247,2.468881246080473,2.470481118163231,2.4718110833726574,2.4730410119828865,2.4743407742680548,2.4758802405022964
3,203.0,22.332457785718173,13.869265320776405,12.396812703272698,11.618370804842984,11.112445739860048,10.739686700442158,10.442879532801427,10.193184450886779,9.97646005667806,9.786020771587683,9.615612120675427,9.461514908535571,9.32107495481562,9.191641750919608,9.07061991189729,8.956538154008491,8.84897480118524,8.747548380336205,8.651877418370063,8.561580442195481,8.476275978721135,8.395582554855695,8.319118697507836,8.246502933586227,8.17735378999954,8.11128979365645,8.047929471465627,7.986891350335744,7.927793957175473,7.870255818893485,2.383294973191748,3.1859139589447167,3.012183032510691,2.8580050092725235,2.7537915949460157,2.6824576797487496,2.630450238682539,2.5895718086921753,2.556127285720397,2.528720938192409,2.5060001094936744,2.4867767272749113,2.46993185740912,2.4543468041309264,2.4389250964689824,2.4230234794453573,2.4064218797134473,2.388916432993802,2.3703032750069677,2.3503785414734932,2.3289383681139277,2.3057788906488184,2.2806962447987136,2.2534865662841606,2.2239459908257087,2.191870654143906,2.1570566919593,2.119300239992439,2.0783974339638718,2.0341444095941457
4,170.0,21.90410925478869,13.783943201830578,12.450175779795712,11.762949907958284,11.305263265243546,10.963026705841138,10.68817757839888,10.451205281456357,10.239284606481682,10.048117671359837,9.873686297966493,9.713406575829922,9.56529709870704,9.427378537554366,9.297715716700848,9.175273851926727,9.059858882042182,8.951308947954635,8.849462190571511,8.75415675080024,8.665230769548247,8.582522387722955,8.505869746231793,8.435110985982185,8.370084247881557,8.310627672837338,8.256579401756952,8.207777575547823,8.16406033511738,8.125265821373048,2.3564933268580064,2.9973985235144522,2.7930721869807194,2.6884015043116163,2.6107929562429004,2.569212658611092,2.559848988503359,2.5575523126636326,2.554587244785713,2.5523077129151224,2.551907521155023,2.552961832712707,2.5543658554309903,2.5550124529317895,2.5538279330954294,2.550420611148645,2.5450356134316907,2.5379424579723087,2.529410662798238,2.5197097459372197,2.509109225416997,2.4978786192653093,2.4862874455098978,2.474605222178503,2.4631014672988667,2.45204569889873,2.4417074350058336,2.432356193647918,2.4242614928527253,2.4176928506479953
5,204.0,21.56381002103685,13.409698750333542,11.99450180779497,11.263589549575164,10.779457272365253,10.422469853603339,10.142329943611037,9.91194115462712,9.71587772675666,9.544630748958891,9.389490229683261,9.246895544516978,9.115449204686431,8.993761179066027,8.880462145860164,8.774605095379085,8.675637343659545,8.583021310541746,8.496219415865893,8.414694079472186,8.337907721200835,8.265322760892037,8.196401618385998,8.130606713522921,8.067400466143008,8.006245296086465,7.946603623193493,7.887937867304294,7.829710448259075,7.771383785898037,2.209682095310343,3.119440648399009,2.8957419770210118,2.717747514687409,2.6097247837341735,2.5353125290086576,2.47624141278495,2.430772560601209,2.3963783425417375,2.3700469762849146,2.3489194863813765,2.331214044263202,2.3156013070263493,2.300753491760866,2.285385037683405,2.2690713928025636,2.2521919553635863,2.235156917205786,2.2183764701684754,2.2022608060909667,2.1872201168125747,2.173664594172611,2.162004430010389,2.1526498161652214,2.146010944476422,2.1424980067833026,2.142521194925177,2.1464907007413574,2.1548167160711573,2.16790943275389
6,166.0,21.337601163605754,12.545342477528937,11.293197057592236,10.636875747027629,10.213187629904075,9.896968058625848,9.638205512760933,9.416773187919443,9.222159108331816,9.048675738293849,8.891050931722313,8.746590111317477,8.61368147961424,8.49071697215007,8.376116916807504,8.268880628381705,8.168548039452194,8.074679789806282,7.986836519231275,7.904578867514481,7.827467474443211,7.755062979804771,7.686926023386469,7.622617244975614,7.561697284359514,7.503726781325479,7.448266375660816,7.394876707152831,7.343118415588836,7.292552140756135,2.8224355159724763,2.8541698784408194,2.6275706214364956,2.492164348422709,2.4098331153395343,2.3566668664665715,2.3221896571413545,2.3002200131653763,2.285785777351718,2.2745190983852392,2.262498267834795,2.248831278493427,2.233898833861889,2.2180860252510683,2.2017740026542514,2.1852635432985257,2.1687803779015784,2.1525473626850857,2.136787353870724,2.1217232076801698,2.1075777803351,2.094573928057191,2.0829345070681193,2.0728823735895614,2.064640383843194,2.0584313940506935,2.054478260433737,2.0530038392140004,2.0542309866131605,2.058382558852894
7,168.0,22.113384408390836,13.65253984743714,12.411190219308843,11.778032271115357,11.363266382034636,11.04716719820828,10.785184203232477,10.559151359637882,10.359845318003188,10.182536478349261,10.022749922546044,9.877503405967374,9.744441723226563,9.621211830723654,9.505516439841708,9.39619523763081,9.293149540087379,9.19632132663367,9.105652576691943,9.021085269684447,8.942561385033446,8.870022902161194,8.803411800489947,8.742670059441958,8.687739658439487,8.638562576904787,8.595080794260117,8.557236289927733,8.52497104332989,8.498227033888845,2.582803105477794,2.8797555079743553,2.620899384025559,2.479361734745376,2.412204677166364,2.373541974452396,2.346180622062729,2.3263738541325854,2.3115223104999796,2.2995563662375336,2.288565999077998,2.2777071291362856,2.266583455427994,2.2548002207357256,2.2419720469179536,2.2279048173216784,2.2125830019940613,2.195997911363797,2.178140855859577,2.1590031459100953,2.1385760919440466,2.1168510043901216,2.0938191936770156,2.0694719702334208,2.043800644488031,2.0167965268695394,1.9884509278066387,1.9587551577280227,1.927700527062385,1.895278346238418
8,98.0,22.288275451545463,14.51338837293109,13.250360397887569,12.542163299886138,12.054232495229815,11.684438442714798,11.388876663830548,11.141961573734143,10.9301743369645,10.746140191776954,10.58295820548194,10.436631054629935,10.304381158015717,10.183435139629601,10.071075962130225,9.965735466564018,9.866918236858089,9.774169946060864,9.687036267220769,9.605062873386228,9.527795437605672,9.45477963292752,9.385561132400204,9.319685609072145,9.256698735991773,9.196146186207512,9.13757363276779,9.080526748721027,9.024551207115655,8.969192681000097,2.554828307689999,2.7757049563752236,2.7051971517046223,2.641005694687886,2.586410464915128,2.541234712720768,2.504476734560541,2.4731059820234873,2.4458349967580064,2.422285622916946,2.402045304004712,2.3844133040291116,2.3685678291430885,2.3536866681393165,2.3389747595287367,2.324190688642166,2.309609997775356,2.295528030154765,2.28224012900685,2.2700416375580694,2.259227899034882,2.250094256663746,2.24293605367112,2.23804863328346,2.2357273387272265,2.2362675132288774,2.239964500014871,2.2471136423116636,2.2580102833457154,2.2729497663434843
9,188.0,21.925732604125088,14.151867216285625,13.041581612352095,12.430083029006816,12.006179124150707,11.685678164623218,11.426588714367524,11.202910634049154,11.003324043739303,10.824013178110462,10.661365431487734,10.512735155578358,10.37588289957341,10.248570613074461,10.128603470036833,10.01466809098382,9.90627413005181,9.802962765919165,9.704275177264256,9.609752542765436,9.518936041101085,9.431366850949559,9.346586150989229,9.26413511989845,9.183554936355595,9.10438677903903,9.026171826627117,8.94845125779822,8.870766251230709,8.792657985602942,2.4533279574333164,2.5970583756760015,2.4700324410001513,2.4189646859076417,2.39317583378374,2.382620295666128,2.3833766116412964,2.3886220810782706,2.395325960848328,2.4024285837178243,2.409008567717504,2.4149817799549838,2.420615797421558,2.4261794096670264,2.4319237453221207,2.4377397852037124,2.443182229102411,2.4477928962834596,2.4511136060120995,2.4526861775535727,2.452052430173124,2.4487541831359945,2.4423332557074273,2.432331467152664,2.4182906367369483,2.399752583725523,2.3762591273836295,2.347352086976511,2.312573281769411,2.27146453102757
